comment,date,drug,effectiveness,ease of use,satisfaction
"prescribed for anxiety attacks. wish I had done review before taking it b/c I was immediately put on 20mg. Initially worked. Had lots of energy, lost almost 30lbs, but it has now been almost 2yrs on it and I am now tired all the time, have to push myself to get anything done, irritability, headaches and gaining weight! Accidently missed doses b/c tried to change from taking in am to taking in pm and would forget to take it. That was really bad!",4/17/2014 8:04:48 AM,citalopram oral,4.0,4.0,2.0
"I've been told, by doctors through the years, that I've been depressed all my life and don't know it.  Was prescribed Wellbutrin but it seems I'm one of those rarer side effects.  Now, I have been prescribed 10mg of this at bedtime.  I also have low testosterone, adult ADD they say and high blood pressure.  I. Wondering if anyone has had similar prognosis and what they have done that worked?  I exercise regularly and eat decent.  [email protected]",4/16/2014 8:16:21 PM,citalopram oral,1.0,1.0,1.0
"It's working, but I feel like I need to change mg.",4/15/2014 3:36:01 AM,citalopram oral,4.0,4.0,4.0
"This medication has worked for me for years - cannot go without it!! I've see first-hand what I'm like without it!!
",4/12/2014 1:03:25 PM,citalopram oral,5.0,5.0,5.0
"Too many side effects to warrant its use in my case, was slightly effective but my mild depression didnt warrant use of what I see as quite a powerful mind changing substance. It helped but at a cost.",4/7/2014 7:39:56 AM,citalopram oral,1.0,2.0,2.0
"I am not sure if my symptoms are from coming off Effexor (225 mg) for the past 10 plus years or from starting this drug day 5 now at 10 mg. I am shaky, head in clouds, can't think easy to cry, be mad anxious. Overall unwell feeling. Pains in chest and groin. Diarrhea
Not sure if I want to remain on this drug or not!!!",3/24/2014 2:20:27 AM,citalopram oral,1.0,1.0,1.0
Very little side effects except for a few sleepless nights. My depression lifted within six weeks and i felt a lot better. So I would recommend the drug to others. ,3/13/2014 5:54:10 AM,citalopram oral,4.0,4.0,4.0
"I haven't decided to take this medication at the time, my doctor prescribed it for me to help me deal with my emotions of my husbands passing which has only been a month, I cry all the time, get frustrated, angry and anxious.  Can you tell me if this would be good for me to take.  Thank you!",3/12/2014 8:58:06 AM,citalopram oral,1.0,1.0,2.0
"Still experiencing depression,both situational and chemical insufficiency",3/6/2014 4:25:13 PM,citalopram oral,2.0,5.0,3.0
"I've had depression for about 10 years till I decided to tell a Dr. He put me on 20mg citalopram and I took it for about a year.  It didn't help as much as he said it would but it did help a bit.  I would say it made me more balanced.  It didn't exactly make me happy but it took most of my bad thoughts away.  I didn't want to be stuck taking a medication the rest of my life so I stopped taking it to see if I could do without.  Bad idea.  Terrible side effects for 2-3 weeks.  I was dizzy the whole time and got headaches. Not to mention the bad episodes were back.  After the dreaded few weeks the side effects went away but I was still sad.  So finally 6months later I saw a new Dr. who just put me on 20mg Prozac, I'm sure it will be like the same thing.",2/25/2014 2:31:10 PM,citalopram oral,4.0,5.0,4.0
i have not seen a difference in taking this nor has my family,2/24/2014 5:22:31 PM,citalopram oral,1.0,4.0,2.0
Only problem I've experienced is drowsiness.But have had a complete change in my attitude and outlook in life. Used to take Prozac and it quit working for me.,2/21/2014 12:50:04 AM,citalopram oral,5.0,5.0,5.0
Started med after having my dominate ovary removed and started menopause early. Hormones went out of wack and felt very sad all the time. Take 10mg daily and feel great. Headaches and nightmares continue but are at an acceptable level. Only horrible side effect is my sex drive as decreased and orgasms are non-existent. This is unacceptable and my dr is currently working on correcting this.,2/15/2014 11:47:46 AM,citalopram oral,4.0,5.0,4.0
"I was started on the 10mg dose and the first two weeks I felt great. My irritability and angery impulsive thoughts went away. I was back to my old self but by week three I could feel the anger and irritation coming back and by week 5 I was back to biting peoples heads off and not wanting to do anything responsible. I just went back for a follow up with my doctor and he changed my dose to 20 mg and I am starting counseling to supplement the medication. I am hoping it continues to help. As far as the side effects, I have had none but I started taking this medication with a positive attitude that I wouldn't be affected by the tiredness or the weight gain and so far so good.",2/13/2014 9:58:41 PM,citalopram oral,3.0,5.0,4.0
"in the beginning, lots of yawning, and spacy but now it just takes the edge off...had postpartum, started taking 20 mg but now 10mg. have a stressful job and helps to stay focused and remain positive. ",2/11/2014 10:29:58 PM,citalopram oral,4.0,5.0,5.0
I HAVE BEEN ON THIS MED FOR A WEEK NOW. IM SUPER DROWSY MY LEG AND ARM TWITCH IM ITCHY.ILL GET A BURST OF ENERGY THEN CRASH. I STILL DONT WANT TO BE BOTHERD BY PEOPLE. I GET IRRITATED AFTER A FEW HOURS BUT WHEN I FIRST TAKE IT IT CLAMS ME NO IRRITATION FULL OF ENERGY THEN BOOM ... I HAVE TO GO TO SLEEP AND I HAVE NO DESIRE TO DO ANYTHING.... I DONT KNOW IF THIS DRUG IS WORKING ONLY BAD SIDE EFFECT IS I KEEP GETTING HEADACHES AND DRY MOUTH ... ... ILL SEE HOW THIS GOES THE REST OF THIS MONTH ...  ,2/6/2014 3:22:09 AM,citalopram oral,3.0,5.0,3.0
"So far I've had no bad side effects other than a lot a yawning, slight headache and a bit of shakiness. I have been told I look better but I don't feel any changes ",2/5/2014 5:23:57 PM,citalopram oral,3.0,3.0,3.0
night mares,2/5/2014 3:56:11 PM,citalopram oral,4.0,2.0,4.0
Very satisfied. This medication has improved my life dramatically. I used to have chronic panic attacks and I was put on citalopram. Helped reduce them immensely. ,2/4/2014 1:34:19 AM,citalopram oral,5.0,5.0,5.0
I had really bad anxiety prior to taking this medicine. I noticed a big difference shortly after starting 10mg once a day.,1/30/2014 12:18:41 PM,citalopram oral,4.0,5.0,4.0
MY DOCTOR PUT ME ON THIS AND I DON'T KNOW WHY I WAS TAKINGING AMYTRIPTOLINE CITLITOPRAM MADE ME VERY DIZZY,1/29/2014 12:05:55 PM,citalopram oral,1.0,3.0,1.0
severe nightmares/still have depression,1/21/2014 3:56:41 PM,citalopram oral,3.0,4.0,2.0
"I have muscles all over my body that jerk,left leg is worse muscles feel like they are moving like rolling all the time. the tingling is from my hip down to the bottom of my feet. Don't like the feeling at all
 ",1/16/2014 5:42:37 PM,citalopram oral,2.0,2.0,2.0
"I had a horrible itchy throat, coughing and vomiting while taking this medication.  When I stopped taking it, all symptoms stopped within 2 to 3 days.",1/15/2014 4:57:41 PM,citalopram oral,5.0,5.0,1.0
I get heartburn or bad indigestion taking citalopram oral 20mg. I noe take 1/2 at lunch and 1/2 at dinner,1/14/2014 8:30:00 PM,citalopram oral,3.0,3.0,2.0
"During menopause my anxiety skyrocketed.  After a major ""episode"" started taking this med.  my life has been transformed!  My anxiety, underlying depression, and insomnia have disappeared!  Went from being a total pessimist, to an optimist.  Although my interest in sex is pretty much zero, my
 outlook on life is so positive I don't really care (much to my husband's dismay!)",1/8/2014 10:39:35 PM,citalopram oral,5.0,5.0,5.0
"I could never see any improvement with my
anxiety",1/7/2014 6:48:57 PM,citalopram oral,1.0,3.0,1.0
"Before I started taking this drug, I was very moody snapping at my husband and my kids for no reason and out of nowhere I would have an anxiety attack. My moods were ruining my marriage so I needed to do something. That's when I went to see my doctor and she went ahead and put me on Citalopram. It was the best thing ever.I am so amazed with the results that I have received. And me and my husband are getting along now and i'm not so pushy with my kids.",1/7/2014 9:58:42 AM,citalopram oral,5.0,5.0,5.0
weight gain,12/31/2013 7:53:07 PM,citalopram oral,4.0,4.0,4.0
"I have not started this medicine and have been reading the reviews...I am very afraid of anti-depressants as I have not been diagnosed as depressed but suffer General Anxiety Disorder and Panic Attacks in certain situations like traffic, airplanes..places where I have no control.  Has anyone been able to use this SHORT TERM while also using a therapist?",12/31/2013 8:02:12 AM,citalopram oral,1.0,1.0,1.0
"I took this medication for 2 years in the a.m. because it had an uplifting effect, and it helped my depression/anxiety. I worked up to the highest dose.  About the time I was thinking I would start lowering the dose, and maybe try to go off of it, my 26 yr. old daughter was killed in a horrific car crash that left my 4 month grandson mentally disabled for life, and with partial blindness.  My husband and I took the baby boy and my daughter's 8 yr. old girl to raise, even though I was weary from raising my own 5 kids.  I found quickly that I still needed the med, and don't know what I would do without it, as I am under a tremendous amount of stress. I have also learned to help control anxiety with positive thinking and prayer.   ",12/30/2013 9:55:12 PM,citalopram oral,5.0,5.0,5.0
"after my wife died of 29 years of marriage, I had a heart attack 5 months later. my doctor started me on this medicine after she died in my arms. it seemed to work, but felt so tired, I am taking 20 mg a day in the morning.i have tried stopping this medicine an cant, it feels like electric shocks all over my body, the first 2 days I have lots of energy but the tingles all over my body makes me start taking it again. I think it makes the depression worse. I wish I had went to counseling than using this poison ,I also gained 40 pounds. Try counseling before this, once you get on it its no getting off",12/29/2013 7:11:09 PM,citalopram oral,3.0,4.0,2.0
"Please do not take this drug, after being on this drug for only 2 1/2 weeks I started having irregular heart beat, dizziness, feeling faint and shortness of breath.  I end up at the Heart Hospital and had a procedure done that they had to shock my heart to get it back into rhythm.  My heart rate went from 73 per minute to 146. I never had any heart problems before taking this drug.  ",12/23/2013 9:35:52 PM,citalopram oral,1.0,1.0,1.0
i have used citalopram for depression it is ok but wish i felt better for longer stretches of time. i am still depressed a lot.,12/17/2013 4:17:03 AM,citalopram oral,3.0,5.0,2.0
is this med causing me not to ejackulate 72 old male,12/4/2013 7:42:44 PM,citalopram oral,5.0,5.0,2.0
"This drug saved my life. Suffered from depression for the last 10 years or so. Tried a few different medications, but nothing seemed to work as well. I have mild side effects such as increased thirst and urination (could also be due to stomach disease), slight decrease in sex drive, but no issues with climax. I went from trying to overdose, to being the happiest I have ever been in my life. Recently tried to get off of it, but the symptoms were absolutely terrible. Brain zaps happen even if I miss one dosage. I used to have a horrible time sleeping, and would only get about 3 hours a night, now I get around 12. Periods of extreme exhaustion throughout the day, but as long as I stay active, I'm fine. This drug does not work for everyone, but has changed my life completely.",12/3/2013 12:44:23 AM,citalopram oral,5.0,5.0,5.0
"I have had anxiety that was completely out of control.  I worried so much that I couldn't enjoy life because I was too busy worrying about what horrible thing might be getting ready to happen.  I would have panic attacks at night that were so bad it felt as if I was on fire, the day time panic attacks were not as bad as the ones at night, but still were bad enough.  I'm not really sure why I was hesitant to take something, but my doctor told me all this medicine would do is turn off the noise in my head.  I started out on 10 mg, then changed to 20 mg after a week.  I could tell a difference in that I wasn't worrying as much, but the anxiety was still there lurking, and still bad at night.  He increased my dosage to 40 mg and everything has been much better.  I don't feel any different except that I am not worring myself sick.  Now my worries and controllable and rational.  This medicine has made a huge positive change in my life.  As for side effects, I was very sleepy when I began taking it, but after about a month and a half it's not very bad.  I sleep well, no problem there.  I have a bit of dry mouth, but I just dring more water which is better for me anyway.  The side effects are so minimal and the medicine works great.  I only wish I would have taken my doctor's advice and started taking it earlier, it would have saved me a lot of anxiety.  ",11/18/2013 3:10:25 PM,citalopram oral,4.0,5.0,4.0
dreaming with being vocal,11/3/2013 11:46:48 AM,citalopram oral,4.0,4.0,4.0
"itching, hives severe",11/3/2013 6:49:38 AM,citalopram oral,4.0,5.0,4.0
I can see not improvement,11/2/2013 3:19:34 PM,citalopram oral,3.0,3.0,2.0
"l feel more calm, less anxiety. Although l get very itchy and rashes when its hot weather. My sex drive has been getting less over the years. l take 40mg in the mornings. l get leg restlessness, take magnesium for that but it gives me diarrhoea. l can sleep for hours but feel tired like it wasn't deep sleep. ",10/30/2013 3:11:51 AM,citalopram oral,4.0,4.0,3.0
When I was taken off HRT replacement I was experience some moodiness and depression every little think would bother me hot flashes at night would come and go but not bad ones so my doctor put me on citalopram I have been taking them since March 2013 and it has helped me a great deal. Some I get the jitters but I drink chamomile tea and that helps a great deal. I am 69 years of age ,10/29/2013 12:07:55 PM,citalopram oral,5.0,5.0,5.0
Constant nausea. corresponding treatment weekly psychotherapy. Much better but by which or both treatments is unclear.  ,10/29/2013 1:54:57 AM,citalopram oral,3.0,3.0,3.0
"starting on 5mg for a month then will go up to 10mg. I don't want to go too fast. You are meant to increase it slowly to avoid the side affects. Only meant to take 20mg for all patients. some side effects on 5mg-sleepy, a bit of nausea, but feeling less stressed. I am concerned that my doctor didn't say to start slowly on them. I told my pharmacist that I'd had bad effects from amitriptyline years ago and that I wanted to start really slowly. She said 3 days with 5 mg.. then 3 days with 10mg, then 20 mg after that. I am not gonna risk that! Plus my driving has been a bit affected at 5mg. Start slow people. And if having bad side affects go back to your doctor to change the medication. Hope you all feel better soon, and be kind to yourselves and tell friends and loved ones how they can support you at this time. ",10/21/2013 4:27:31 PM,citalopram oral,3.0,3.0,3.0
"This medication had given me a head ache the first week then made me sick to my stomach, and my panic attacks became worse before they got better. This medication was hard to start.",10/19/2013 4:55:17 PM,citalopram oral,3.0,2.0,3.0
"I started this medication on a Friday night about 9 pm.  By 9:30 severe stomach ache followed by 2 hrs diarrhea.  I was so sleepy but by midnight became severely agitated.  Finally fell asleep at 6 am, only for 2 hrs. Had awful metallic dry mouth.  Stopped taking it as it wasn't worth the anxiety.  It is now 10 days since my one and only dose of 5 mg, and I still have that awful dry mouth and sleepiness every afternoon and very vivid dreams.  I hope it ends soon.  I wish I had never taken it.",10/13/2013 9:12:17 PM,citalopram oral,1.0,4.0,1.0
"Have been taking the drug for over 5 years. Did well up until recently.  All of a sudden it stopped working, completely.  Don't know why. ",10/13/2013 7:00:30 PM,citalopram oral,2.0,5.0,3.0
"I seem to still have a lot of anxiety moments even after several years of use. Sometimes there are heart palpitations, especially at night.",10/7/2013 5:50:14 PM,citalopram oral,4.0,3.0,3.0
"because of my insurance, I have to take the generic version, and the pharmacy does not seem to be able to keep the same stuff on regular basis, it changes manufacturers, and that is when all hell brakes loose. Nothing that is not the real thing is as effective, why? also I have notice that if the pills are not white, their performance is not the same, why? I am currently taking some peachy color stuff that does not work, no matter what they say that the dosage is the same, my body knows best and it is  not.
",10/7/2013 5:26:12 PM,citalopram oral,3.0,5.0,3.0
Not very effective & causes orgasm problems.,10/5/2013 2:39:12 PM,citalopram oral,2.0,5.0,2.0
I submit that this medication works for my patient in combination with medicinal marijuana (probably 2 to 4 hits/week) It helps him suppress his anxiety attacks and seems to moderate his OCD. I realize that many readers may disagree with the medical use of marijuana but it works as well as any pharmaceutical available on the market. All of its side affects just happen to be positive (except for getting caught using it)! This medication combination has made a major positive change for this patient and also another person in my care.  ,9/21/2013 6:49:34 PM,citalopram oral,3.0,5.0,3.0
"No energy, exhausted all the time, sleep all the time, I don't need this.",9/19/2013 10:44:11 AM,citalopram oral,1.0,5.0,1.0
"I feel like a new me, happy, everything is peachy. I do have nausea, some lightheaded, restless, cant sleep, lost some weight. Nothing I can not deal with. I rather take this med midmorning, the side effects are not as strong then if I take it at bed time. ",9/16/2013 4:19:10 AM,citalopram oral,5.0,5.0,5.0
"I just started this drug but as I was being treated for anxiety, depression, etc. it made my mood change from happy, to sad, to happy, and so on. Eventually after these mood changes I fell asleep from extreme tiredness. Hopefully it gets better?",9/14/2013 1:11:32 PM,citalopram oral,4.0,5.0,4.0
I've been on celexa 10mg for 2 years.  I have had a positive experience on this medication.  I experienced no side effects.  I felt clear headed and less moody.,9/10/2013 10:35:30 PM,citalopram oral,5.0,5.0,4.0
I've experienced no side effects from taking this medication.,9/7/2013 4:18:55 PM,citalopram oral,5.0,5.0,5.0
"I had anxiety and depression but I did not understand this problem and got sick with other ailments and could not work.  I have been on 40 mg for 30 days now and it has changed my life only side effects, a slight headache which I can tolerate.  I am a changed person and all my worries gone.  My daughter has AHDD and her life is very debilitating and I had the doctor start her on this and in just 2 days she has felt different and we are optimistic this will change her life.  If anyone is hesitant about trying this medication, please try it and don't look back.  ",9/5/2013 6:08:11 PM,citalopram oral,5.0,5.0,5.0
"CAUSES BIG TIME WEIGHT GAIN  if your issue is body size, or weight and they prescribe a pill thT Mkes you bigger, who are they treTING, YOU OR THEIR OWN MALICIOUS MOTIVES?? I AM A VICTIM OF A JEALOUS PSYCHOLOGY STUDENT WHO DOPED ME UP ON PILLS LIKE THIS AND ALDOL TO CAUSE ME TO GET BIGGER, REGARDLESS OF HOW I ATE, THEN SHE ACCUSED ME OF HAVING an EATING DISORDER, WHEN I AM VEGAN AND WORK OUT EVERY DAY TO LOSE WEIGHT BC I WAS 15 POUNDS OVER THE ama RECC WEIGHT.",9/5/2013 9:31:39 AM,citalopram oral,1.0,1.0,1.0
Worked for awhile....gained 40 pounds over 4 1/2 years......withdrawal symptoms were brutal,8/28/2013 11:46:08 AM,citalopram oral,3.0,5.0,1.0
"My experience has been a good one, but one of my doctors mentioned that I should be taken off this particular drug.",8/16/2013 3:57:09 PM,citalopram oral,5.0,5.0,5.0
I was close to turning 50 and for some reason I went thru a tough time that I had never experienced before. I was thinking every disease out there I had even though I had a physical and my doctor said I was fine. Slowly but surely I got out of that funk and back on track for a good happy life. ,8/14/2013 11:03:40 AM,citalopram oral,4.0,5.0,4.0
This medication is answered prayer for my daughter. She has had very bad mood swings her whole life. We have been to many doctors. This stuff works!!!!,8/14/2013 5:45:17 AM,citalopram oral,5.0,5.0,5.0
I shake all the time as if I have parkinsons disease,8/12/2013 11:41:45 AM,citalopram oral,2.0,2.0,3.0
"Can't tell that it does anything.  Don't notice any change if I run out of it for several days.
",8/3/2013 4:06:45 PM,citalopram oral,1.0,5.0,1.0
"this drug ruined my life
be aware",7/27/2013 5:26:35 PM,citalopram oral,3.0,2.0,1.0
loss of tste,7/25/2013 4:55:41 PM,citalopram oral,4.0,5.0,2.0
I have used it for years. I have tried to go off it and see if I could go without it. Needless to say I had to go back on it.,7/12/2013 8:27:36 AM,citalopram oral,5.0,5.0,5.0
"Tried many Meds for Panic Disorder, nothing worked until I started taking Celexa.
Only drawback is that it did very little for depression.",7/23/2013 10:48:37 AM,citalopram oral,5.0,5.0,5.0
"Horrible body aches. Knees, hips, back. I have been trying to come off for seven months. I am still on five milligrams and feel horrible. Major unbalanced feelings. Extreme fatigue, feeling like I am drooling on the side of my mouth. Muscle spasms, tremors.",7/5/2013 10:12:48 PM,citalopram oral,3.0,1.0,1.0
"I've been using this for several years. It helps me have a more ""level"" life experience. Has improved mood greatly. As other males have said, it does lower sexual drive and I've been suspicious that it causes me to require napping later in the day. Overal good medication.",6/25/2013 3:12:19 PM,citalopram oral,4.0,5.0,4.0
"mid 40's started high nervousness.started with buspar I have been using this drug about 10 years.lost all sex drive.feel like dummy most of time .loss of short term memory .I have tried to wean off drug ,ended up in hospital with stroke type symtoms..STAY OFF THE DRUG OR ANY DRUG IF POSSIBLE.SIDE EFFECTS NOW WORSE THAN ORIGINAL PROBLEM",6/21/2013 9:07:19 PM,citalopram oral,4.0,4.0,1.0
"The max dose of 40mg made me feel better within a week. But I need just a litte bit more of a kick, my Dr put me on 40mg twice a day. My sister is also taking this medication and her Dr. was very concerned with me taking that much. Getting a second opinion.",6/16/2013 12:31:48 AM,citalopram oral,3.0,5.0,3.0
I have spotting . I had a hysterectomy years ago. I have a doctor appointment.,6/14/2013 1:15:31 PM,citalopram oral,3.0,4.0,1.0
"given to my downs syndrome son.  works excellent for a while, then wears off.",6/13/2013 2:07:22 AM,citalopram oral,5.0,5.0,5.0
I had ues this for 3 weeks and I can tell you it really works. My mind is not racing with thoughts and Im much level headed. My mood is level out and I dont snap anymore. The only thing is that it take longer to climax during sex,6/8/2013 2:23:09 AM,citalopram oral,5.0,5.0,4.0
Always on edge. Very easy to upset and get mad. With the medication it works well with no side effects. Takes the edge off and hard to get upset.,6/6/2013 3:47:16 AM,citalopram oral,5.0,5.0,5.0
it works,6/4/2013 9:56:08 AM,citalopram oral,5.0,5.0,5.0
"I was on this for nearly 2 years. It helped with anxiety I was having, but it really didn't allow me to cope directly with it. I have had Major side effects nearly all listed except vomiting and darkened stool. I have now decreased to almost next to no meds; sex drive is back (from zero), I have basic emotions back, my wit and spontaneity is back. I had a decent experience but I myself want to enjoy life again instead of just existing. ",5/31/2013 1:36:05 AM,citalopram oral,5.0,5.0,3.0
Side effects unacceptable,5/30/2013 6:34:09 PM,citalopram oral,2.0,5.0,1.0
it work and then it doesnt work,5/28/2013 6:17:49 PM,citalopram oral,3.0,5.0,2.0
makes me very tired and nauseated,5/26/2013 1:35:57 PM,citalopram oral,1.0,1.0,1.0
I have had a loss of sexual drive,5/23/2013 7:48:01 PM,citalopram oral,5.0,5.0,3.0
"I am only on this medication for 1 month.  Once I can drag myself out of bed & shower, I feel in a much better mood (not crying all the time, etc).  HOWEVER...I am SO exhausted!  I am optimistic & really hope this symptom is temporary.  If I have the day off of work, I can almost sleep 15 hrs or more!  Not good; I want to get out of that slump of sleeping all the time like before.  I currently take citirizine for allergies; montelukast for cough daily.  Maybe the combination is not good with the Citalopram.  Any comments would be greatly appreciated.   ",5/15/2013 1:20:08 AM,citalopram oral,4.0,2.0,3.0
"This medication makes me feel so good, I'm very grateful for being put on this, my M.D. did the right thing for me.",5/14/2013 5:40:36 PM,citalopram oral,5.0,5.0,5.0
"I was given this generic, actually two generics (both new to me) were mixed in one prescription container. I had been doing fine on another citalopram generic and am again now. But for the month of April I went from not crying at all while on the meds (a trade off I accepted) to crying every day and feeling extremely depressed. It was as if I was taking nothing at all. ",5/14/2013 3:54:15 PM,citalopram oral,1.0,5.0,1.0
" For me, citalopram has been amazing.  I wish I would have started taking it 15 years earlier.  It's hard to imagine life now without it.  It was prescribed to me after I had a heart attack, but it seems to work as much on anxiety as depression.",5/13/2013 9:42:42 PM,citalopram oral,5.0,5.0,5.0
Had anxiety brought on by stress.  Citalopram helped relieve anxiety and emotional outbursts.  ,5/13/2013 12:29:39 PM,citalopram oral,5.0,5.0,5.0
I use this medication to control angry outbursts. I have had these episodes all my life. I am 63 now and couldn't live without it.,5/6/2013 10:22:20 PM,citalopram oral,5.0,5.0,5.0
"helps with depression, then it no longer works.  experience stiffening of legs and 1 leg jumps",5/6/2013 5:40:11 PM,citalopram oral,2.0,5.0,1.0
"They prescribed this drug because of the depression I experienced when my testosterone went low. I should have had the testosterone issue treated properly, but they insisted I used an ineffective testosterone gel. A year ago I found out that getting testosterone injections was far more effective and less expensive than androgen.  by then I was hooked on Celexa/Citalopram. I eventually weaned myself off of anti depressants, (thanks to medical mj which helped immensely, and I no longer need that) - but after 3 weeks off celexa, and my test levels normal, I had the biggest spiritual breakthru in my life. My gut feeling is BigPharma does not care about the condition of your soul, they just want to make money.  Anti depressants are only for people who absolutely need them or will die. I would do everything in my power to treat the real cause of depression, and not use an anti depressant. NEVER AGAIN for me. At age 58, my soul is finally free and I am back to normal and happy now",5/5/2013 7:25:08 AM,citalopram oral,1.0,5.0,1.0
a little more less anxious,5/3/2013 9:08:09 PM,citalopram oral,4.0,5.0,4.0
"This is the worst medication I have ever taken.  I had so many bad symptoms from it- dry mouth, tire/exhausted, depressed, headaches, irritability. Once I changed to Lexapro all the symptoms went away.",4/24/2013 8:16:33 AM,citalopram oral,2.0,4.0,1.0
"this medicatin low your sex driver,but is very good because it keep you on a good mood and very relax.I stop it because of the sex drive, hope they can improve.",4/23/2013 7:33:21 PM,citalopram oral,5.0,5.0,5.0
"Makes you feel great! Life is good, the future looks good! Thank you Heavenly Father & Jesus.",4/22/2013 8:31:55 AM,citalopram oral,5.0,5.0,5.0
"Combined with Depakote and Bupropion it has proven to be the best combination that I have ever been on. However, I blame Citalopram for my 35 pound wieght gain, as I now crave sugar & carbs like never before. Also, my libido is zero. But a sense of well-being has prevailed over the mental anguish of Major Depression with a formerly ever-present Dysthymia.
",4/21/2013 11:49:45 AM,citalopram oral,4.0,4.0,4.0
I seem to  get restlesss leg syndrome if I wait until bedtime to take this med. I also had to include impramine with it to get a better effect.,4/21/2013 1:10:21 AM,citalopram oral,3.0,4.0,3.0
The side effects were severe for the first 2-3 months but my body got use to the medication and has really helped with my anxiety attacks. My frequent anxiety attacks have increased drastically.,4/15/2013 1:05:04 PM,citalopram oral,5.0,5.0,5.0
no problem,4/9/2013 1:24:34 AM,citalopram oral,3.0,3.0,3.0
"This drug has helped me with my deep biploar depression. Although, dr. keeps increasing dose but overall is a good pill. ",4/5/2013 12:04:20 PM,citalopram oral,4.0,5.0,5.0
take a look at the side effects and then understand how hard it will be to come off this drug,4/3/2013 5:25:12 PM,citalopram oral,3.0,4.0,1.0
I just began to notice hair loss on my arms and legs,4/1/2013 9:28:06 PM,citalopram oral,4.0,4.0,4.0
"Against my wishes, my pcp prescribed this to me because my mother wanted a quick fix instead of some therapy (@ age 17). It gave me worse depression symptoms; I could/would not go to school, antisocial, barely ate. When I got off of it, I went through a severe withdrawal consisting of cold sweats and rage for 2 weeks.",3/14/2013 10:26:01 PM,citalopram oral,1.0,2.0,1.0
"I have really had good results from this drug EXCEPT I have gained 24lbs over two years, which really, really bothers me! My doctor says Wellbutrin doesn't have weight gain as a side effect,but all drugs scare me so I shall have to do some research.",3/14/2013 8:19:24 PM,citalopram oral,5.0,5.0,5.0
I feel that this drug was not helpful.,3/14/2013 3:25:49 PM,citalopram oral,3.0,3.0,1.0
"The drug worked for me for 14 years, then stopped working.  I am now looking for another AD, but it did quite well for 14 years.",3/10/2013 7:20:07 PM,citalopram oral,4.0,5.0,4.0
good experience,2/27/2013 10:27:40 AM,citalopram oral,5.0,5.0,5.0
"drug helped me immensley but recently my huusband remarked i am quite hostile and events appear to be pronounced than ever before and they realy upset me, it has been over a year since i was prescribed them. I will return to my gp",2/25/2013 4:01:04 AM,citalopram oral,5.0,5.0,5.0
"I started taking Citalopram when i was 17 years old. I'm now 19 years old and still on this. Its help with my depression alot. One thing I have noticed is that when i started taking this pill i only had depression, and now if I don't take the pill for a week or so my depression and anxiety is at an all time high. over all this pill has changed my life for a positive.",2/20/2013 12:14:01 AM,citalopram oral,5.0,5.0,5.0
"I am smiling more often, much more happy, and less negative feeling towards life.",2/16/2013 3:02:47 PM,citalopram oral,5.0,5.0,5.0
"This wonderdrug is a lifesaver! I was unbelievably low, started taking it, and could not believe the positive results!

In retrospect, I discovered that I have been depressed most of my life. After hitting a major low, I asked my doctor for help, and he prescribed Celexa (Citalopram).

The only ""negative"" side effect is extremely low sex drive (on a scale of 1 to 10, about 0.5). However, considering how life is now worth living, I hardly even care! You probably can't understand unless you've experienced it...

For people just starting to take Celexa (or Citalopram), I suggest starting with no more than 10 mg in the morning. Don't take it at night! The side effects I experienced by starting off with 20 mg at night might not have been caused by the medication (according to my doctor), but I suggest that you take no chances: start in the morning with or after breakfast. Keep in mind that there is a light at the end of the tunnel, and it is NOT a train coming at you!",2/13/2013 9:24:58 AM,citalopram oral,5.0,5.0,5.0
"I have severe sweating, muscle and joint soreness. Overall, mentally I feel happy and content, except for my achy body.",2/4/2013 12:03:16 PM,citalopram oral,5.0,5.0,4.0
i am bi polar..age 62 and have been on Paxil for 20 years previously..it stopped working so i went to wafii...?? spelling...dropped it didn't work at all..went to this one and it works great...the first day...i noticed the difference...excellent drug for me..will stay on it....Lexipro was an alternative but it was $50/mo...this is $10/00 my insurance covers it.....i would highly recommend this drug to anyone....,2/4/2013 2:53:26 AM,citalopram oral,5.0,5.0,5.0
"good
",2/3/2013 7:02:02 AM,citalopram oral,3.0,5.0,5.0
"I currently take 60 mg of this medication. It has not helped at all. repeated anxiety attacks, insomnia and social anxiety has steadily increased. however, trying to get my Dr to change my medication is impossible. Changing dr's and treatments.",1/26/2013 11:24:05 AM,citalopram oral,2.0,3.0,1.0
"Last month I had 2 panic attacks that lasted over 40 min. and 1 that lasted 49 min,this month.I have polycystic kidney disease and an irregular heart beat.Why would my Dr. perscribe this, knowing my health history?Is there no other med I can take for depression?",1/23/2013 4:26:53 PM,citalopram oral,3.0,5.0,3.0
"I'm 19, but have been on this since I was 17. It worked fantastic for the first year. But my body started becoming too used to the medication, so I tried taking a higher dose, and doing that made me depressed all over again. Now I'm back to 20mg once a day and feeling down in the dumps again.",1/22/2013 6:26:22 PM,citalopram oral,4.0,5.0,3.0
"Began suffering some recent bouts with depression and started taking this drug.
Although it seemed to be effective somewhat,
I have felt lethargic and dizziness most of 
the day.  Also decreased sexual drive and 
difficulty ejaculating.  Previously had a 
very active sexual drive.",1/18/2013 9:28:17 AM,citalopram oral,2.0,5.0,2.0
